Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
1,1,Houston,Big 12,30-4,7-3,6-1,17-0,16-4,3-0,4-0,7-0
2,2,UConn,Big East,31-3,9-3,6-0,16-0,13-3,8-0,1-0,9-0
3,3,Purdue,Big Ten,29-4,7-3,6-1,16-0,12-4,8-0,6-0,3-0
4,4,Arizona,Pac-12,25-8,7-4,3-3,15-1,8-3,7-4,8-1,2-0
5,5,Auburn,SEC,27-7,5-5,7-1,15-1,3-7,10-0,9-0,5-0
6,6,Iowa St.,Big 12,27-7,5-5,4-2,18-0,10-6,6-1,2-0,9-0
7,7,Tennessee,SEC,24-8,8-3,2-3,14-2,8-7,5-1,6-0,5-0
8,8,North Carolina,ACC,27-7,8-2,5-4,14-1,9-3,7-4,6-0,5-0
9,9,Alabama,SEC,21-11,5-5,2-4,14-2,4-10,7-1,7-0,3-0
10,10,Duke,ACC,24-8,7-4,2-1,15-3,5-4,6-4,7-0,6-0
11,11,Creighton,Big East,23-9,8-5,1-2,14-2,8-5,7-4,1-0,7-0
12,12,BYU,Big 12,23-10,3-7,4-1,16-2,6-8,5-2,4-0,8-0
13,15,Illinois,Big Ten,26-8,6-5,5-0,15-3,8-6,6-1,7-1,5-0
14,13,Marquette,Big East,25-9,7-5,4-2,14-2,9-8,6-1,4-0,6-0
15,14,Baylor,Big 12,22-10,4-5,4-3,14-2,10-9,4-1,3-0,5-0
16,16,Saint Mary's (CA),WCC,25-7,9-0,3-3,13-4,5-3,3-2,5-2,12-0
17,17,Gonzaga,WCC,24-7,8-2,4-3,12-2,3-6,4-1,5-0,12-0
18,19,Kentucky,SEC,23-9,7-3,2-2,14-4,6-7,2-1,8-1,7-0
19,20,Kansas,Big 12,21-10,3-7,3-2,15-1,7-9,6-0,4-1,4-0
20,21,San Diego St.,Mountain West,22-10,6-8,4-1,12-1,4-9,6-1,6-0,6-0
21,18,Wisconsin,Big Ten,22-13,3-9,5-1,14-3,5-9,9-4,4-0,4-0
22,22,New Mexico,Mountain West,25-9,5-6,8-0,12-3,5-6,3-1,7-1,10-1
23,23,Dayton,Atlantic 10,24-7,6-5,3-2,15-0,3-4,5-3,9-0,7-0
